name,online_order,book_table,rate,votes,location,cuisines,cost_for_two,normalized_rating
masala oota,yes,no,3.6,79,residency road,"south indian, biryani",500,3.8684926577733565
kadai crust - amma veetu samayal,yes,no,3.8,263,indiranagar,"chettinad, south indian, biryani",700,3.8722366284638747
fava,no,yes,4.4,2039,lavelle road,"healthy food, mediterranean, desserts, italian, pizza, salad, kebab",1200,4.288627407113365
amber rush restobar,no,yes,4.1,93,residency road,"continental, chinese, fast food",1000,3.9309796501581125
bootlegger,no,no,4.1,1543,lavelle road,"continental, steak",1200,4.045824780088167
throwback - pub & dine,no,no,3.9,234,langford town,"italian, north indian, continental",1000,3.903139491767453
shaken & stirred,yes,no,3.9,84,race course road,"continental, north indian, chinese",1500,3.9038371566046646
hyderabad biryaani house,no,no,4.3,1348,richmond road,"biryani, north indian, chinese",550,4.179417266997498
the bangalore cafe,no,yes,4.1,473,shanti nagar,"modern indian, north indian, pizza, continental, beverages",800,3.991344060815929
sakae japanese restaurant,no,yes,4.3,518,shanti nagar,japanese,1400,4.089170496580838
green onion,no,no,4.3,1187,residency road,chinese,550,4.16849835810357
art of delight,no,no,4.4,1896,residency road,"ice cream, desserts, beverages",400,4.2822235949771414
khazana food paradise,no,no,4.1,356,richmond road,"north indian, biryani",400,3.977919831793188
mandarin box,no,no,3.9,80,church street,chinese,500,3.9038600308616225
pashto,no,no,4.1,765,residency road,"north indian, mughlai, afghan",800,4.014741947424889
somilan steak house,no,no,4.3,524,church street,"north eastern, asian, naga, steak, momos",800,4.090305005119416
icebreakers,no,no,4.3,183,church street,"desserts, ice cream",400,3.997920000914921
juice junction,no,no,4.0,101,st. marks road,"juices, fast food",150,3.9183382669192897
konark vegetarian restaurant,no,no,3.9,155,lavelle road,"north indian, chinese, continental, south indian",600,3.903471958053819
sugarberryz cakery,no,no,3.9,52,commercial street,"bakery, desserts",1200,3.9040281192972768
stars 'n' stripes,no,no,2.7,77,mg road,"north indian, chinese, fast food",500,3.765554013036151
california burrito,no,no,4.0,53,cunningham road,"mexican, fast food",400,3.9122516781182437
mel's korner,no,no,3.8,95,church street,fast food,500,3.8899272313529867
sidewalk cafe - nahar's heritage hotel,no,no,3.9,134,st. marks road,"italian, fast food",800,3.903572525114688
stir fry,no,no,4.0,209,residency road,"chinese, momos",500,3.9293626008851863
natural ice cream,no,no,4.2,221,st. marks road,"ice cream, desserts",150,3.9848400008721043
indy's comfort food,no,no,4.1,399,shivajinagar,"north indian, beverages, fast food",300,3.9832223037456043
rr catering,no,no,3.4,10,mg road,"north indian, chinese, biryani",350,3.8959901509287005
rescafe,no,no,3.8,41,residency road,beverages,100,3.8976108871964383
bhaiyaji food court,no,no,3.4,27,mg road,"north indian, mithai",300,3.8823464089128623
vasudev adiga's,no,no,3.0,53,church street,"south indian, north indian, chinese, street food",250,3.829953541472281
the french loaf,yes,no,2.8,142,frazer town,"bakery, desserts",300,3.690436672180285
siddique kabab centre,yes,no,3.9,430,frazer town,"mughlai, kebab, chinese",550,3.902536807745493
baahubelly,yes,no,3.8,69,brigade road,"south indian, north indian",500,3.893469819254771
funjabi,yes,no,3.5,140,church street,north indian,600,3.826935814922228
ibaco,yes,no,4.0,93,brigade road,desserts,300,3.917383158930042
alchemy - the chancery pavilion,no,yes,4.3,446,residency road,modern indian,2000,4.074532382553663
fabelle chocolate boutique - itc gardenia,no,no,4.5,232,richmond road,"desserts, ice cream, beverages",1250,4.072284423703705
bhagatram sweets,no,no,3.6,221,commercial street,"street food, mithai",300,3.8215395082612673
corner house ice cream,no,no,4.5,292,lavelle road,"ice cream, desserts",400,4.101347769771403
the bengaluru brasserie - hyatt centric mg road,no,yes,4.1,117,ulsoor,"continental, asian, north indian, south indian",2000,3.936709153542583
amma's pastries,no,no,4.0,97,ulsoor,bakery,400,3.917863489401379
koshy's,no,no,3.6,52,richmond road,"bakery, fast food",300,3.879766844025115
sugar & spice - taj mg road bengaluru,no,no,4.0,79,mg road,desserts,800,3.915656836877834
anand sweets and savouries,no,no,4.0,183,commercial street,"mithai, street food",400,3.9269897683567816
bowring kulfi,no,no,4.0,100,residency road,"ice cream, desserts",150,3.918220087855498
smoor,yes,no,4.1,63,mg road,desserts,900,3.9232264231011453
drunken monkey,yes,no,4.0,122,church street,"beverages, fast food",400,3.920743451203575
the french loaf,yes,no,2.9,46,ulsoor,"bakery, desserts, sandwich",400,3.8318525599813955
sweet truth,yes,no,4.1,49,residency road,"bakery, desserts",500,3.9193595011064826
the belgian waffle co.,yes,no,3.7,73,residency road,"desserts, beverages",350,3.881912772150826
ganache - the ritz-carlton,no,no,3.9,49,residency road,bakery,600,3.9040470011064823
thom's bakery,no,no,4.1,211,frazer town,"bakery, fast food",200,3.955847980932854
hae kum gang,no,yes,4.4,1187,brigade road,"korean, chinese, japanese",1100,4.235258763052952
arbor brewing company,no,yes,4.5,8375,brigade road,"american, continental, salad",2000,4.460739469184491
the permit room,no,no,4.5,1573,brigade road,south indian,1500,4.337333678700624
shakesbierre,no,yes,4.4,256,brigade road,"asian, continental, european, north indian",1500,4.0541795521937996
empire restaurant,yes,no,4.4,2090,brigade road,"north indian, mughlai, south indian, chinese",750,4.290746020405875
the barn - bar & kitchen,no,yes,4.2,240,brigade road,"american, north indian, chinese",1500,3.989759423234837
plan b,no,no,4.2,4422,brigade road,"american, continental, bbq, steak",1200,4.165148629704398
pecos classic,no,yes,4.1,548,brigade road,finger food,1100,3.9984987539140904
guzzlers inn,no,no,4.0,949,brigade road,"north indian, chinese",1100,3.963305247213084
pizza hut,yes,no,3.9,387,brigade road,"pizza, fast food",750,3.90264834428236
fusion lounge,no,no,2.0,395,brigade road,finger food,1500,3.1414706700894004
yak's kitchen,no,no,4.0,162,brigade road,"chinese, tibetan, momos",400,3.9249536264384446
hotel shangrila,no,no,3.7,125,brigade road,"chinese, thai, momos",600,3.8687012300393144
kfc,yes,no,3.8,191,brigade road,"burger, fast food",450,3.878887571238042
taste of tibet,no,no,4.0,336,brigade road,"tibetan, chinese, momos",300,3.9390400007639146
subway,no,no,2.7,61,brigade road,"salad, fast food",600,3.7917025777732345
burger king,yes,no,3.5,89,brigade road,"burger, fast food, beverages",600,3.8514560010413956
the 13th floor,no,yes,4.4,4575,mg road,"asian, north indian, thai",1700,4.34330044148435
communiti,no,no,4.7,3894,residency road,"continental, bbq, salad",1500,4.595159438284984
skyye,no,yes,4.2,3116,lavelle road,continental,2500,4.152870267253345
kazãâãâãâãâãâãâãâãâ©,no,yes,4.4,858,lavelle road,"asian, japanese, thai",3000,4.197853747900725
yauatcha,no,yes,4.6,2339,mg road,"chinese, asian, cantonese, tea",2800,4.459689447340665
farzi cafe,no,no,4.4,2392,lavelle road,modern indian,1500,4.301806932855564
hard rock cafe,no,yes,4.5,5262,st. marks road,"american, bbq",2500,4.439858206169169
karavalli - the gateway hotel,no,yes,4.5,674,residency road,"mangalorean, konkan, seafood, kerala",3500,4.221731289097351
bangalore brew works,no,yes,4.2,2212,residency road,"continental, italian",1700,4.137670381986496
toast & tonic,no,yes,4.6,1082,richmond road,"european, asian",1500,4.354267830668349
the bar stock exchange,no,no,4.3,606,st. marks road,"continental, chinese, north indian, finger food",1300,4.104670075779573
samarkand,no,yes,4.1,2044,infantry road,"north indian, mughlai",1600,4.056125267820929
spice terrace - jw marriott,no,yes,4.3,755,lavelle road,"north indian, seafood",3000,4.126292779129383
carnatic,no,yes,4.2,167,church street,"south indian, kerala, andhra, biryani, chettinad, konkan, mangalorean",1000,3.969511979826054
koshy's,no,no,3.9,2322,st. marks road,"south indian, north indian, chinese, beverages",700,3.9008891454542223
sanchez,no,no,4.3,1028,lavelle road,"mexican, tex-mex",1500,4.155583743488665
1q1,no,yes,4.3,595,infantry road,"asian, japanese, thai, malaysian, vietnamese, korean, chinese",2500,4.102858415436887
harima,no,yes,4.3,666,residency road,japanese,2000,4.113993699847374
caperberry,no,yes,4.6,1423,lavelle road,"spanish, italian, mediterranean, european, salad",2200,4.395873922893817
meghana foods,yes,no,4.3,2177,residency road,"biryani, andhra, north indian, seafood",600,4.21553109852173
dindigul thalappakatti,yes,no,3.9,74,mg road,"biryani, chinese, north indian, south indian",800,3.903894858207743
sotally tober,no,yes,4.4,282,residency road,"asian, burger, chinese, finger food",1200,4.064478901154811
tiamo - conrad bengaluru,no,yes,4.2,149,ulsoor,"italian, mediterranean",2500,3.9639055144704716
tree tops bar & kitchen,no,yes,4.4,189,lavelle road,"north indian, chinese, continental, italian",1000,4.024474462446345
chianti,no,yes,4.5,340,mg road,italian,1500,4.121901268214982
alba - jw marriott bengaluru,no,yes,4.5,583,lavelle road,italian,4000,4.200161908610008
bang - the ritz-carlton,no,yes,4.2,484,residency road,finger food,3000,4.03747914484479
easy tiger,no,no,4.3,2319,church street,"finger food, continental",1100,4.219652948696958
capri gastrobar,no,yes,4.3,284,st. marks road,"mediterranean, italian, asian",1200,4.032788663666455
bbq'd - global grill & brewery,no,no,4.3,456,lavelle road,"bbq, north indian",1500,4.076685845948566
salvadores,no,yes,4.4,186,mg road,"mediterranean, continental, french, italian",2000,4.023024556895945
cafe noir,no,yes,4.2,2074,lavelle road,"european, french, salad",1500,4.134442807019943
bangalore pub exchange,no,yes,4.1,209,mg road,"continental, finger food, pizza, north indian",1000,3.9554876008851863
sriracha,no,no,4.3,687,lavelle road,"thai, chinese, indonesian, asian, momos",1500,4.117050141399178
russh gastropub,no,no,4.2,1279,church street,"continental, italian, burger",1100,4.106572235672807
rs shiv sagar,no,no,4.1,530,commercial street,"chinese, north indian, fast food, street food, desserts",500,3.9968689390795262
republic of noodles - lemon tree premier,no,yes,4.5,550,ulsoor,"malaysian, singaporean, thai",1800,4.191489991856397
mahjong room - welcomhotel bengaluru,no,yes,4.6,116,richmond road,chinese,1200,4.018514965640946
mikusu - conrad bengaluru,no,yes,4.1,80,ulsoor,"japanese, chinese, thai",3000,3.9277050383131873
kebabs & kurries - itc gardenia,no,yes,4.3,355,richmond road,"north indian, mughlai",3500,4.052843637112208
coconut grove,no,yes,3.9,680,church street,"south indian, chettinad, kerala, seafood",1200,3.9020378290386692
smaaash,no,yes,4.2,538,mg road,"north indian, pizza, chinese",1500,4.045252507270282
edo restaurant & bar - itc gardenia,no,yes,4.3,231,richmond road,japanese,4000,4.015559708890692
hamza,no,no,3.9,161,shivajinagar,"north indian, chinese",500,3.9034442562608365
roomali,no,yes,4.0,171,church street,north indian,1300,3.9258400009293286
riwaz - the ritz-carlton,no,yes,4.1,270,residency road,north indian,4000,3.9657259938538316
chin lung resto bar,no,no,3.9,378,residency road,"north indian, chinese, fast food",1000,3.9026729419072748
memories of china - taj mg road bengaluru,no,yes,4.3,449,mg road,"chinese, momos",3000,4.075182769911682
fuel resto bar,no,no,4.2,38,richmond road,"finger food, mediterranean, north indian",2000,3.9222417817299666
the lantern restaurant & bar - the ritz-carlton...,no,yes,4.4,424,residency road,chinese,3500,4.11141879872724
matsuri - the chancery hotel,no,yes,4.4,183,lavelle road,japanese,1800,4.021563411767635
ice - taj mg road bengaluru,no,yes,4.1,608,mg road,continental,2800,4.003578048964261
i-bar - the park bangalore,no,no,3.8,617,mg road,"north indian, chinese, mediterranean",3000,3.8510679476060834
imperial restaurant,yes,no,3.9,366,residency road,"north indian, chinese, biryani, kebab, juices",800,3.9027064584202185
fort kochi,no,yes,4.1,335,mg road,"kerala, seafood",1800,3.975151275062796
lotus pavilion - itc gardenia,no,yes,4.2,175,richmond road,continental,3000,3.971919165415338
chugg,no,yes,3.9,747,church street,"finger food, continental, asian, north indian",1500,3.9019357852826224
new hilal restaurant,no,no,4.0,108,shivajinagar,"north indian, chinese",550,3.9191560525152345
scottish pub,no,no,3.9,191,st. marks road,finger food,600,3.9033121236677095
palmgrove,no,no,4.0,224,residency road,"north indian, south indian, chinese, juices",700,3.9306626757155207
tasting room - bengaluru oota company,no,no,4.0,58,ulsoor,"mangalorean, south indian",2000,3.912927705251385
wyt restropub,no,no,2.7,402,mg road,"north indian, chinese",1000,3.416807734852114
mtr 1924,no,no,4.2,697,st. marks road,south indian,300,4.064355652723718
kamat hotel,no,no,3.6,60,shivajinagar,"north indian, south indian, chinese",450,3.8763288490140533
woody's,no,no,2.5,433,commercial street,"chinese, south indian, north indian",650,3.3105371881915517
downtown,no,no,3.7,293,residency road,"north indian, continental",1000,3.8366403627920236
the ritz-carlton bar - the ritz-carlton,no,no,4.0,93,residency road,finger food,2000,3.917383158930042
slounge - lemon tree premier,no,no,4.0,62,ulsoor,finger food,1500,3.913461073059952
strikers sports bar and music,no,yes,3.8,73,shanti nagar,"continental, north indian, chinese",1200,3.8929067480544406
polo club - the oberoi,no,no,4.1,117,mg road,"american, north indian, european, tex-mex",3000,3.936709153542583
atomic lab,no,no,3.5,53,lavelle road,"asian, north indian, continental",1800,3.8711026097952623
bar uno - jw marriott bengaluru,no,no,3.9,72,lavelle road,spanish,2500,3.9039066074029396
szechwan court - the oberoi,no,no,4.1,168,mg road,chinese,2500,3.9476812657551363
chaithanya delicacy,no,no,3.7,52,richmond road,"north indian, south indian, chinese",550,3.8878539357825024
liquid lounge - hyatt centric mg road,no,yes,4.0,98,ulsoor,"finger food, continental, chinese",2400,3.917982700592379
mighty small,no,no,4.1,259,mg road,"continental, chinese",1200,3.963988330244881
white plate,no,yes,4.2,258,mg road,"thai, continental, north indian",1500,3.9942168206220834
chai point,yes,no,4.0,132,residency road,"tea, beverages, fast food",250,3.9218396690292514
jaisalmer,no,no,3.7,57,st. marks road,"north indian, chinese",700,3.8864044455372673
ottimo - itc gardenia,no,yes,4.3,164,richmond road,"italian, salad",3000,3.9903179876929125
coco grove beer cafe,no,no,3.8,150,church street,continental,800,3.883252470591294
alibi - maya international hotel,no,no,1.8,224,church street,"north indian, continental, chinese",1200,3.3260000990284038
unicorn bar & restaurant,no,no,3.9,119,infantry road,"seafood, north indian, chinese",800,3.903648000997393
taste of kerala,no,no,2.2,48,residency road,"kerala, seafood",600,3.7763538039251157
soul city,no,no,3.8,217,lavelle road,"italian, chinese, continental, north indian, seafood, thai",2000,3.876349109787313
italia - the park bangalore,no,no,3.7,82,mg road,italian,2500,3.8794800604875914
siddiqu kabab center,no,no,4.5,174,richmond road,"north indian, rolls",250,4.039856314651175
indian coffee house,no,no,4.0,1217,church street,south indian,200,3.968744513666011
siddappa hotel,no,no,4.1,274,richmond road,south indian,150,3.9663469141134673
kentacky chicken corner,no,no,4.0,102,richmond road,"andhra, south indian",300,3.9184561049179636
nisarga garden,no,no,4.0,89,infantry road,"south indian, chinese, street food, juices",300,3.916897177511984
sri saravana bhavan,no,no,3.9,75,commercial street,south indian,150,3.903889010072296
vishnu sagar,no,no,3.0,33,commercial street,"south indian, chinese, north indian",400,3.8565546165194693
mathsya darshini,no,no,3.2,57,lavelle road,"seafood, mangalorean",350,3.842422964055786
hotel ajantha,no,no,3.9,77,mg road,south indian,200,3.903877366329564
tayabbs,no,no,3.7,70,ulsoor,"rolls, north indian, fast food",500,3.882738397440467
faasos,yes,no,3.9,252,residency road,"north indian, biryani, fast food",500,3.9030724563560484
sagar chats,no,no,3.8,38,commercial street,"chinese, beverages, street food",300,3.898076439917566
sweet chariot cafe,yes,no,3.8,113,residency road,"continental, fast food, beverages, desserts",500,3.8876279555513475
maratha darshan,no,no,4.0,107,cunningham road,"maharashtrian, north indian",400,3.919040230240901
chikkanna tiffin room,no,no,4.5,203,city market,south indian,150,4.0566625701613965
